"STUID,State,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %"
"11011001001,AP,1,1,3,3,1,5,2,1,1,3,3,0,1,No,1,2,2,2,1,2,2,2,L,4,4,3,3,4,4,4,4,2,1,3,3,3,3,2,2,2,3,1,3,1,3,3,2,3,2,3,3,3,3,3,4,3,4,4,20.37,,27.78,"
"11011001002,AP,1,2,3,4,2,5,2,2,1,7,3,0,2,No,1,2,2,2,1,2,2,2,L,4,3,4,4,4,3,4,4,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,12.96,,38.18,"
"11011001003,AP,1,2,3,4,2,5,2,1,1,0,3,0,2,No,1,2,2,4,2,2,3,2,L,0,0,0,0,4,3,4,3,2,1,3,3,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,27.78,70.0,,"
"11011001004,AP,1,2,3,3,2,4,2,1,1,3,3,0,2,No,1,2,2,2,1,2,3,2,S,4,3,4,4,4,3,4,4,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,,56.67,,36.0"
"11011001005,AP,1,2,3,3,2,5,2,1,1,3,3,0,2,No,1,2,2,4,1,2,2,2,L,4,3,4,4,4,3,4,4,2,1,3,3,3,3,3,2,2,2,3,1,1,3,3,3,3,3,3,3,3,3,2,3,3,4,4,,,14.55,8.33"
"11011001006,AP,1,2,3,3,1,5,2,3,1,5,5,1,1,No,1,1,1,1,1,2,4,2,L,4,4,4,4,4,4,4,4,2,2,1,3,3,3,3,2,2,2,3,2,1,3,3,2,2,1,2,2,1,1,4,3,2,4,4,,23.33,,30.0"
"11011001007,AP,1,2,3,4,2,2,2,1,1,2,3,0,2,No,1,1,2,2,1,2,3,2,L,4,3,4,4,4,3,4,4,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,40.74,70.0,,"
"11011001008,AP,1,2,2,0,2,4,2,1,1,3,3,0,1,No,1,2,2,4,3,2,2,2,O,4,3,2,2,4,3,2,2,2,1,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,2,3,2,3,3,4,3,3,3,4,,26.67,,22.92"
"11011001009,AP,1,2,3,3,2,4,2,1,1,3,3,0,2,No,1,2,2,2,2,2,2,2,L,4,1,3,1,1,1,3,1,2,1,1,3,3,3,2,2,2,3,3,3,1,3,3,2,3,1,3,2,3,3,4,3,3,4,4,24.07,,25.45,"
"11011001010,AP,1,2,2,4,2,3,2,1,1,3,3,0,2,No,1,1,2,4,3,2,2,2,O,4,3,2,2,4,3,4,4,2,1,3,3,3,3,2,2,2,2,3,3,3,3,3,1,3,2,3,2,3,3,4,3,4,3,4,18.52,26.67,,"
