player_id,player_name,date_of_birth,birth_place,role,batting_style,bowling_style
1,Mahendra Singh Dhoni,"Jul 07, 1981",Ranchi,WK-Batsman,Right Handed Bat,Right-Arm Medium
2,Srikkanth Anirudha,"Apr 14, 1987",,Batsman,Right Handed Bat,
3,Ravichandran Ashwin,"Sep 17, 1986",,Bowler,Right Handed Bat,Right-Arm Offbreak
4,Lakshmipathy Balaji,"Sep 27, 1981","Madras (Now Chennai), Tamil Nadu",Bowler,Right Handed Bat,Right-Arm Fast-Medium
5,Stephen Fleming,"Apr 01, 1973","Christchurch, Canterbury",Batsman,Left Handed Bat,
6,Matthew Hayden,"Oct 29, 1971","Kingaroy, Queensland",Batting Allrounder,Left Handed Bat,Right-Arm Medium
7,Shadab Jakati,"Nov 27, 1980",,Bowler,Left Handed Bat,Left-Arm Orthodox
8,Viraj Kadbe,"Nov 18, 1989","Nagpur, Maharashtra",Bowling Allrounder,Right Handed Bat,Right-Arm Legbreak
9,Suresh Kumar,"Mar 20, 1985",Chennai,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
10,Abhinav Mukund,"Jan 06, 1990","Madras (Now Chennai), Tamil Nadu",Batsman,Left Handed Bat,
11,Makhaya Ntini,"Jul 06, 1977","Mdingi, Nr King William'S Town, Cape Province",Bowler,Right Handed Bat,Right-Arm Fast
12,Parthiv Patel,"Mar 09, 1985","Ahmedabad, Gujarat",WK-Batsman,Left Handed Bat,
13,Vidyut Sivaramakrishnan,"Dec 03, 1981",,Batting Allrounder,Right Handed Bat,
14,Palani Amarnath,"Jun 01, 1982",,Bowler,Right Handed Bat,
15,Arun Karthik,"Feb 15, 1986","Walajapet, Tamil Nadu",Batsman,Right Handed Bat,Right-Arm Legbreak
16,S Badrinath,"Aug 30, 1980","Madras (Now Chennai), Tamil Nadu",Batsman,Right Handed Bat,Right-Arm Offbreak
17,Manpreet Gony,"Jan 04, 1984","Roopnagar, Punjab",Bowler,Right Handed Bat,Right-Arm Fast-Medium
18,Michael Hussey,"May 27, 1975","Morley, Western Australia",Batsman,Left Handed Bat,Right-Arm Medium
19,Joginder Sharma,"Oct 23, 1983",Rohtak,Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
20,Chamara Kapugedera,"Feb 24, 1987",Kandy,Batsman,Right Handed Bat,Right-Arm Medium
21,Albie Morkel,"Jun 10, 1981","Vereeniging, Transvaal",Batting Allrounder,Left Handed Bat,Right-Arm Fast-Medium
22,Muttiah Muralitharan,"Apr 17, 1972",Kandy,Bowler,Right Handed Bat,Right-Arm Offbreak
23,Jacob Oram,"Jul 28, 1978","Palmerston North, Manawatu",Bowling Allrounder,Left Handed Bat,Right-Arm Fast-Medium
24,Suresh Raina,"Nov 27, 1986","Muradnagar, Ghaziabad, Uttar Pradesh",Batsman,Left Handed Bat,Right-Arm Offbreak
25,Napoleon Einstein,"Aug 16, 1989","Madras (Now Chennai), Tamil Nadu",Batsman,Right Handed Bat,Right-Arm Offbreak
26,VVS Laxman,"Nov 01, 1974","Hyderabad, Andhra Pradesh",Batsman,Right Handed Bat,Right-Arm Offbreak
27,Halhadar Das,"Dec 10, 1986",,WK-Batsman,Right Handed Bat,
28,Adam Gilchrist,"Nov 14, 1971","Bellingen, New South Wales",WK-Batsman,Left Handed Bat,Right-Arm Offbreak
29,Pragyan Ojha,"Sep 05, 1986","Bhubaneswar, Orissa",Bowler,Left Handed Bat,Left-Arm Orthodox
30,Rohit Sharma,"Apr 30, 1987","Nagpur, Maharashtra",Batsman,Right Handed Bat,Right-Arm Offbreak
31,Andrew Symonds,"Jun 09, 1975","Birmingham, Warwickshire, England",Batting Allrounder,Right Handed Bat,Right-Arm Medium
32,Venugopal Rao,"Feb 26, 1982","Visakhapatnam, Andhra Pradesh",Batsman,Right Handed Bat,Right-Arm Offbreak
33,R.P.Singh,"Dec 06, 1985","Rae Bareli, Uttar Pradesh",Bowler,Right Handed Bat,Left-Arm Fast-Medium
34,Arjun Yadav,"Dec 23, 1981",,Batsman,Right Handed Bat,
35,Sanjay Bangar,"Oct 11, 1972","Bid, Maharashtra",Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
36,Herschelle Gibbs,"Feb 23, 1974","Green Point, Cape Town, Cape Province",Batsman,Right Handed Bat,
37,Doddapaneni Kalyankrishna,"Dec 16, 1983",,Batting Allrounder,Right Handed Bat,
38,Dwaraka Ravi Teja,"Sep 05, 1987",,Batsman,Right Handed Bat,
39,Shahid Afridi,"Mar 01, 1980",Khyber Agency,Bowling Allrounder,Right Handed Bat,Right-Arm Legbreak
40,Chamara Silva,"Dec 14, 1979",Panadura,Batsman,Right Handed Bat,Right-Arm Legbreak
41,Scott Styris,"Jul 10, 1975","Brisbane, Queensland, Australia",Batting Allrounder,Right Handed Bat,Right-Arm Medium
42,Chaminda Vaas,"Jan 27, 1974",Mattumagala,Bowler,Left Handed Bat,Left-Arm Fast-Medium
43,Paidikalva Vijaykumar,"Oct 20, 1986",,Bowler,Right Handed Bat,
44,Nuwan Zoysa,"May 13, 1978",Colombo,Bowler,Left Handed Bat,Left-Arm Fast-Medium
45,Sarvesh Kumar,"Apr 26, 1989",,Bowling Allrounder,Right Handed Bat,
46,Virender Sehwag,"Oct 20, 1978",Delhi,Batsman,Right Handed Bat,Right-Arm Offbreak
47,AB De Villiers,"Feb 17, 1984",Pretoria,WK-Batsman,Right Handed Bat,Right-Arm Medium
48,Tillakaratne Dilshan,"Oct 14, 1976",Kalutara,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
49,Brett Geeves,"Jun 13, 1982","Claremont, Tasmania",Bowler,Right Handed Bat,Right-Arm Fast-Medium
50,Glenn McGrath,"Feb 09, 1970","Dubbo, New South Wales",Bowler,Right Handed Bat,Right-Arm Fast-Medium
51,Yo Mahesh,"Dec 21, 1987",,Bowling Allrounder,Right Handed Bat,
52,Amit Mishra,"Nov 24, 1982",Delhi,Bowler,Right Handed Bat,Right-Arm Legbreak
53,Yogesh Nagar,"Jan 06, 1990",,Batting Allrounder,Right Handed Bat,
54,Shoaib Malik,"Feb 01, 1982","Sialkot, Punjab",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
55,Manoj Tiwary,"Nov 14, 1985","Howrah, Bengal",Batsman,Right Handed Bat,Right-Arm Legbreak
56,Rajat Bhatia,"Oct 22, 1979",,Bowling Allrounder,Right Handed Bat,Right-Arm Medium
57,Shikhar Dhawan,"Dec 05, 1985",Delhi,Batsman,Left Handed Bat,Right-Arm Offbreak
58,Gautam Gambhir,"Oct 14, 1981",Delhi,Batsman,Left Handed Bat,Right-Arm Legbreak
59,Dinesh Karthik,"Jun 01, 1985","Madras (Now Chennai), Tamil Nadu",WK-Batsman,Right Handed Bat,
60,Farveez Maharoof,"Sep 07, 1984",Colombo,Batting Allrounder,Right Handed Bat,Right-Arm Fast-Medium
61,Mithun Manhas,"Oct 12, 1979",,Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
62,Mohammad Asif,"Dec 20, 1982","Sheikhupura, Punjab",Bowler,Left Handed Bat,Right-Arm Fast-Medium
63,Pradeep Sangwan,"Nov 05, 1990","Rasiwas, Delhi",Bowler,Right Handed Bat,Left-Arm Fast-Medium
64,Mayank Tehlan,"Oct 11, 1986",,Bowling Allrounder,Right Handed Bat,
65,Tejashwi Yadav,"Nov 09, 1989",,Batsman,Right Handed Bat,
66,Sourav Ganguly,"Jul 08, 1972","Calcutta (Now Kolkata), Bengal",Batsman,Left Handed Bat,Right-Arm Medium
67,Aakash Chopra,"Sep 19, 1977","Agra, Uttar Pradesh",Batsman,Right Handed Bat,
68,Ashok Dinda,"Mar 25, 1984","Medinipur, Calcutta (Now Kolkata)",Bowler,Right Handed Bat,Right-Arm Fast-Medium
69,Brad Hodge,"Dec 29, 1974","Sandringham, Victoria",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
70,Iqbal Abdulla,"Dec 02, 1989",Azamgarh,Bowler,Left Handed Bat,Left-Arm Orthodox
71,Siddarth Kaul,"May 19, 1990",,Bowler,Right Handed Bat,Right-Arm Medium
72,Ajantha Mendis,"Mar 11, 1985",Moratuwa,Bowler,Right Handed Bat,Right-Arm Legbreak
73,Ricky Ponting,"Dec 19, 1974","Launceston, Tasmania",Batsman,Right Handed Bat,Right-Arm Medium
74,Salman Butt,"Oct 07, 1984","Lahore, Punjab",Batsman,Left Handed Bat,Right-Arm Offbreak
75,Shoaib Akhtar,"Aug 13, 1975","Rawalpindi, Punjab",Bowler,Right Handed Bat,Right-Arm Fast
76,Tatenda Taibu,"May 14, 1983",Harare,WK-Batsman,Right Handed Bat,Right-Arm Offbreak
77,Ajit Agarkar,"Dec 04, 1977","Bombay (Now Mumbai), Maharashtra",Bowler,Right Handed Bat,Right-Arm Fast-Medium
78,Debabrata Das,"Sep 22, 1986",,Batsman,Right Handed Bat,Right-Arm Legbreak
79,Chris Gayle,"Sep 21, 1979","Kingston, Jamaica",Batsman,Left Handed Bat,Right-Arm Offbreak
80,David Hussey,"Jul 15, 1977","Morley, Western Australia",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
81,Murali Kartik,"Sep 11, 1976","Madras (Now Chennai), Tamil Nadu",Bowler,Left Handed Bat,Left-Arm Orthodox
82,Brendon McCullum,"Sep 27, 1981","Dunedin, Otago",WK-Batsman,Right Handed Bat,
83,Mohammad Hafeez,"Oct 17, 1980","Sargodha, Punjab",Batting Allrounder,Right Handed Bat,Right-Arm Offbreak
84,Wriddhiman Saha,"Oct 24, 1984",Shaktigarh,WK-Batsman,Right Handed Bat,
85,Ishant Sharma,"Sep 02, 1988",Delhi,Bowler,Right Handed Bat,Right-Arm Fast
86,Laxmi Shukla,"May 06, 1981","Howrah (Now Haora), Bengal",Batting Allrounder,Right Handed Bat,Right-Arm Medium
87,Umar Gul,"Apr 14, 1984","Peshawar, North-Western Frontier Province",Bowler,Right Handed Bat,Right-Arm Fast-Medium
88,Yuvraj Singh,"Dec 12, 1981",Chandigarh,Batsman,Left Handed Bat,Left-Arm Orthodox
89,Ajitesh Argal,"Sep 21, 1988","Bhopal, Madhya Pradesh",Bowling Allrounder,Right Handed Bat,Right-Arm Medium
90,Pankaj Dharmani,"Sep 27, 1974",Delhi,Batting Allrounder,Right Handed Bat,
91,Gagandeep Singh,"Oct 03, 1981",,Batting Allrounder,Right Handed Bat,
92,James Hopes,"Oct 24, 1978","Townsville, Queensland",Bowling Allrounder,Right Handed Bat,Right-Arm Medium
93,Uday Kaul,"Dec 02, 1987",,WK-Batsman,Left Handed Bat,
94,Brett Lee,"Nov 08, 1976","Wollongong, New South Wales",Bowler,Right Handed Bat,Right-Arm Fast
95,Kyle Mills,"Mar 15, 1979",Auckland,Bowler,Right Handed Bat,Right-Arm Fast-Medium
96,Irfan Pathan,"Oct 27, 1984","Baroda, Gujarat",Bowling Allrounder,Left Handed Bat,Left-Arm Fast-Medium
97,Ramesh Powar,"May 20, 1978","Bombay (Now Mumbai), Maharashtra",Bowler,Right Handed Bat,Right-Arm Offbreak
